mu_B,pressure,energy_density
940.00000,0.00171,3.48716
940.10000,0.00214,6.13068
940.20000,0.00290,8.76820
940.30000,0.00398,11.34976
940.40000,0.00535,13.82543
940.50000,0.00697,16.14524
940.60000,0.00880,18.27476
940.70000,0.01084,19.99787
940.80000,0.01305,21.43513
940.90000,0.01540,22.72783
941.00000,0.01788,23.93839
941.10000,0.02049,25.06627
941.20000,0.02321,26.13231
941.30000,0.02605,27.14513
941.40000,0.02899,28.11151
941.50000,0.03202,29.03614
941.60000,0.03516,29.92632
941.70000,0.03839,30.78600
941.80000,0.04171,31.61578
941.90000,0.04511,32.42064
942.00000,0.04860,33.20067
942.10000,0.05217,33.95965
942.20000,0.05582,34.69767
942.30000,0.05954,35.41728
942.40000,0.06334,36.11904
942.50000,0.06722,36.80413
942.60000,0.07117,37.47601
942.70000,0.07519,38.13483
942.80000,0.07927,38.77953
942.90000,0.08343,39.41344
943.00000,0.08765,40.03524
943.10000,0.09194,40.64729
943.20000,0.09629,41.24832
943.30000,0.10070,41.84028
943.40000,0.10518,42.42251
943.50000,0.10972,42.99563
943.60000,0.11432,43.56018
943.70000,0.11898,44.11709
943.80000,0.12369,44.66610
943.90000,0.12847,45.20794
944.00000,0.13330,45.74286
944.10000,0.13819,46.27128
944.20000,0.14313,46.79344
944.30000,0.14813,47.30928
944.40000,0.15318,47.81870
944.50000,0.15829,48.32205
944.60000,0.16345,48.82058
944.70000,0.16866,49.31339
944.80000,0.17392,49.80107
944.90000,0.17924,50.28404
945.00000,0.18460,50.76190
945.10000,0.19002,51.23510
945.20000,0.19549,51.70385
945.30000,0.20100,52.16750
945.40000,0.20657,52.62685
945.50000,0.21218,53.08237
945.60000,0.21784,53.53411
945.70000,0.22355,53.98169
945.80000,0.22930,54.42550
945.90000,0.23511,54.86570
946.00000,0.24095,55.30199
946.10000,0.24685,55.73433
946.20000,0.25279,56.16341
946.30000,0.25877,56.58878
946.40000,0.26480,57.01172
946.50000,0.27088,57.43116
946.60000,0.27700,57.84726
946.70000,0.28316,58.26036
946.80000,0.28936,58.66997
946.90000,0.29561,59.07702
947.00000,0.30190,59.48101
947.10000,0.30824,59.88229
947.20000,0.31462,60.28109
947.30000,0.32103,60.67718
947.40000,0.32749,61.07115
947.50000,0.33400,61.46229
947.60000,0.34054,61.85076
947.70000,0.34712,62.23657
947.80000,0.35375,62.62035
947.90000,0.36041,63.00151
948.00000,0.36712,63.38017
948.10000,0.37386,63.75687
948.20000,0.38064,64.13094
948.30000,0.38747,64.50271
948.40000,0.39433,64.87269
948.50000,0.40123,65.24052
948.60000,0.40817,65.60623
948.70000,0.41515,65.97006
948.80000,0.42217,66.33212
948.90000,0.42922,66.69138
949.00000,0.43631,67.04902
949.10000,0.44344,67.40456
949.20000,0.45061,67.75808
949.30000,0.45782,68.11003
949.40000,0.46506,68.46046
949.50000,0.47234,68.80881
949.60000,0.47965,69.15587
949.70000,0.48700,69.50087
949.80000,0.49439,69.84435
949.90000,0.50181,70.18567
950.00000,0.50927,70.52572
950.10000,0.51677,70.86421
950.20000,0.52430,71.20096
950.30000,0.53187,71.53661
950.40000,0.53947,71.87028
950.50000,0.54710,72.20224
950.60000,0.55478,72.53281
950.70000,0.56248,72.86162
950.80000,0.57022,73.18931
950.90000,0.57800,73.51518
951.00000,0.58581,73.83989
951.10000,0.59365,74.16319
951.20000,0.60153,74.48481
951.30000,0.60944,74.80559
951.40000,0.61738,75.12441
951.50000,0.62536,75.44197
951.60000,0.63337,75.75827
951.70000,0.64142,76.07357
951.80000,0.64949,76.38748
951.90000,0.65760,76.69973
952.00000,0.66575,77.01120
952.10000,0.67392,77.32105
952.20000,0.68213,77.62964
952.30000,0.69037,77.93729
952.40000,0.69864,78.24365
952.50000,0.70695,78.54893
952.60000,0.71529,78.85313
952.70000,0.72366,79.15625
952.80000,0.73206,79.45820
952.90000,0.74049,79.75882
953.00000,0.74895,80.05839
953.10000,0.75745,80.35644
953.20000,0.76597,80.65373
953.30000,0.77453,80.95016
953.40000,0.78312,81.24559
953.50000,0.79174,81.53980
953.60000,0.80039,81.83267
953.70000,0.80907,82.12463
953.80000,0.81778,82.41552
953.90000,0.82652,82.70522
954.00000,0.83529,82.99348
954.10000,0.84410,83.28111
954.20000,0.85293,83.56820
954.30000,0.86179,83.85436
954.40000,0.87068,84.13958
954.50000,0.87961,84.42388
954.60000,0.88856,84.70709
954.70000,0.89754,84.98947
954.80000,0.90655,85.27080
954.90000,0.91559,85.55141
955.00000,0.92466,85.83076
955.10000,0.93376,86.10952
955.20000,0.94289,86.38742
955.30000,0.95205,86.66428
955.40000,0.96123,86.94005
955.50000,0.97045,87.21513
955.60000,0.97969,87.48929
955.70000,0.98896,87.76260
955.80000,0.99826,88.03515
955.90000,1.00759,88.30713
956.00000,1.01695,88.57815
956.10000,1.02634,88.84835
956.20000,1.03575,89.11753
956.30000,1.04519,89.38590
956.40000,1.05467,89.65340
956.50000,1.06416,89.92026
956.60000,1.07369,90.18616
956.70000,1.08324,90.45138
956.80000,1.09283,90.71599
956.90000,1.10243,90.97993
957.00000,1.11207,91.24310
957.10000,1.12174,91.50557
957.20000,1.13143,91.76723
957.30000,1.14115,92.02817
957.40000,1.15089,92.28821
957.50000,1.16067,92.54753
957.60000,1.17047,92.80589
957.70000,1.18029,93.06390
957.80000,1.19015,93.32121
957.90000,1.20003,93.57783
958.00000,1.20994,93.83386
958.10000,1.21987,94.08930
958.20000,1.22983,94.34379
958.30000,1.23982,94.59756
958.40000,1.24984,94.85047
958.50000,1.25988,95.10296
958.60000,1.26994,95.35479
958.70000,1.28004,95.60618
958.80000,1.29015,95.85678
958.90000,1.30030,96.10679
959.00000,1.31047,96.35619
959.10000,1.32067,96.60478
959.20000,1.33089,96.85246
959.30000,1.34114,97.09983
959.40000,1.35142,97.34651
959.50000,1.36172,97.59279
959.60000,1.37204,97.83832
959.70000,1.38239,98.08321
959.80000,1.39277,98.32739
959.90000,1.40317,98.57121
960.00000,1.41360,98.81461
960.10000,1.42405,99.05712
